Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793010000000000000017774980001;SHN201410003757;6332;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000017774980003;SHN201410003757;6332;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA03000000000070079700003;SHN201410003757;36536;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA01000000000070079700001;SHN201410003757;36536;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA04000000000070079700004;SHN201410003757;36536;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA02000000000070079700002;SHN201410003757;36536;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079300S120000000000020761100002;SHN201500003757;39470;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793010000000000000020839300001;SHN201500003757;13224;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793010000000000000021043270001;SHN201500003757;18762;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793010000000000000021297190001;SHN201500003757;23306;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793010000000000000021339690001;SHN201500003757;20996;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793010000000000000021514230001;SHN201500003757;25101;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793010S12000000000001895470001;SHN201500003757;31878;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793014000000000000020894590001;SHN201500003757;15246;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793014000000000000020978850001;SHN201500003757;16482;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793014000000000000020998580001;SHN201500003757;16054;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793014000000000000021346520001;SHN201500003757;15708;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E20793014000000000000021389210001;SHN201500003757;24194;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301EA01000000000206114100001;SHN201500003757;11767;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000028368400001;SHN201500003757;35274;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000028701900001;SHN201500003757;33678;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000032104900001;SHN201500003757;36961;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000032104900002;SHN201500003757;36961;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000034639600001;SHN201500003757;38037;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000035497800001;SHN201410003757;37505;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
