Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E2079301S120000000000022726500001;SHN201500004207;27726;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301S120000000000022776500001;SHN201500004207;27736;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301S120000000000023111800001;SHN201500004207;31742;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301S120000000000023267700001;SHN201500004207;32339;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301S120000000000026646600001;SHN201500004207;27020;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301S120000000000031276000001;SHN201500004207;4570;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000002220000001;SHN201500004207;2285;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000002220000002;SHN201500004207;2285;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000002220000003;SHN201500004207;2285;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000002220000004;SHN201500004207;2285;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000002220000005;SHN201500004207;2285;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000002220000006;SHN201500004207;2285;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000017624580001;SHN201500004207;4289;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000020268110001;SHN201500004207;7449;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000020627840001;SHN201500004207;12411;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000021059970001;SHN201500004207;13310;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000021275770001;SHN201500004207;24462;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010S12000000000002230600001;SHN201500004207;22345;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793012000000000000021210540001;SHN201500004207;21009;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000001272180001;SHN201500004207;7063;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000002092930001;SHN201500004207;13537;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020852250001;SHN201500004207;15440;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021028280001;SHN201500004207;13041;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021085200001;SHN201500004207;19382;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
